,crop_path,painting_name,no_of_descriptors,no_of_matches,dist_median,dist_mean,dist_std,no_of_outliers,no_of_inliers,homography_norm,homography_det,directory,origin_painting,class,inliers_ratio,matches_ratio,inliers_to_descriptors_ratio,classification,set
38039,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_159.jpg,TheDutchProverbs,1510,26.0,206.55267333984372,197.178654890794,42.24790413374953,21.0,5.0,3438.749030530273,-0.000631241274445,reproductions,TheFightBetweenCarnivalAndLent,false,0.19230769230769232,0.017218543046357615,0.0033112582781456954,0,train
60387,.\objects\reproductions\TheProcessionToCalvary\crops\person\TheProcessionToCalvary_rep_25.jpg,MadMeg,157,5.0,,,,,0.0,,,reproductions,TheProcessionToCalvary,false,0.0,0.03184713375796178,0.0,0,train
7985,.\objects\paintings\TheProcessionToCalvary\crops\person\TheProcessionToCalvary108.jpg,MadMeg,292,6.0,,,,,0.0,,,paintings,TheProcessionToCalvary,false,0.0,0.02054794520547945,0.0,0,train
70212,.\objects\reproductions\TheWeddingDance\crops\person\TheWeddingDance_rep_032.jpg,MassacreOfTheInnocents,84,2.0,,,,,0.0,,,reproductions,TheWeddingDance,false,0.0,0.023809523809523808,0.0,0,train
67830,.\objects\reproductions\TheTriumphOfTheDeath\crops\person\TheTriumphOfDeath_rep_04.jpg,TheCornHarvest,309,7.0,,,,,0.0,,,reproductions,TheTriumphOfTheDeath,false,0.0,0.022653721682847898,0.0,0,train
31549,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_324.jpg,TheProcessionToCalvary,44,1.0,,,,,0.0,,,reproductions,TheDutchProverbs,false,0.0,0.022727272727272728,0.0,0,train
64305,.\objects\reproductions\TheSermonOfSaintJohnTheBaptist\crops\person\TheSermonOfTheSaintJohnTheBaptist_rep_033.jpg,TheWineOfSaintMartinsDay,575,27.0,184.43426513671875,184.5259351377134,42.2579539465156,22.0,5.0,2083.35974668124,-0.0419937852887435,reproductions,TheSermonOfSaintJohnTheBaptist,false,0.18518518518518517,0.04695652173913043,0.008695652173913044,0,train
50287,.\objects\reproductions\ThePeasantDance\crops\person\ThePeasantDance_rep_13.jpg,TheTriumphOfTheDeath,37,1.0,,,,,0.0,,,reproductions,ThePeasantDance,false,0.0,0.02702702702702703,0.0,0,train
60208,.\objects\reproductions\TheProcessionToCalvary\crops\person\TheProcessionToCalvary_rep_239.jpg,TheWeddingDance,137,4.0,,,,,0.0,,,reproductions,TheProcessionToCalvary,false,0.0,0.029197080291970802,0.0,0,train
69999,.\objects\reproductions\TheWeddingDance\crops\person\TheWeddingDance_rep_02.jpg,TheTriumphOfTheDeath,33,2.0,,,,,0.0,,,reproductions,TheWeddingDance,false,0.0,0.06060606060606061,0.0,0,train
22184,.\objects\reproductions\MassacreOfTheInnocents\crops\person\MassacreOfTheInnocents_rep_431.jpg,TheLandOfCockaigne,74,4.0,,,,,0.0,,,reproductions,MassacreOfTheInnocents,false,0.0,0.05405405405405406,0.0,0,train
73930,.\objects\reproductions\TheWineOfSaintMartinsDay\crops\person\TheWineOfSaintMartinDay_rep_171.jpg,TheFightBetweenCarnivalAndLent,188,2.0,,,,,0.0,,,reproductions,TheWineOfSaintMartinsDay,false,0.0,0.010638297872340425,0.0,0,train
54579,.\objects\reproductions\ThePeasantWedding\crops\person\ThePeasantWedding_rep_4.jpg,MadMeg,315,13.0,231.09954833984372,229.1764373779297,41.048833007428186,9.0,4.0,1028.8196294490162,0.0347425607723548,reproductions,ThePeasantWedding,false,0.3076923076923077,0.04126984126984127,0.012698412698412698,0,train
66909,.\objects\reproductions\TheSermonOfSaintJohnTheBaptist\crops\person\TheSermonOfTheSaintJohnTheBaptist_rep_48.jpg,TheProcessionToCalvary,34,4.0,,,,,0.0,,,reproductions,TheSermonOfSaintJohnTheBaptist,false,0.0,0.11764705882352941,0.0,0,train
61320,.\objects\reproductions\TheProcessionToCalvary\crops\person\TheProcessionToCalvary_rep_312.jpg,TheFallofTheRebelAngels,108,2.0,,,,,0.0,,,reproductions,TheProcessionToCalvary,false,0.0,0.018518518518518517,0.0,0,train
6376,.\objects\paintings\ThePeasantDance\crops\person\ThePeasantDance11.jpg,TheLandOfCockaigne,79,4.0,,,,,0.0,,,paintings,ThePeasantDance,false,0.0,0.05063291139240506,0.0,0,train
57136,.\objects\reproductions\ThePeasantWedding\crops\person\ThePeasantWedding_rep_814.jpg,TheWeddingDance,46,3.0,,,,,0.0,,,reproductions,ThePeasantWedding,false,0.0,0.06521739130434782,0.0,0,train
66669,.\objects\reproductions\TheSermonOfSaintJohnTheBaptist\crops\person\TheSermonOfTheSaintJohnTheBaptist_rep_423.jpg,TheProcessionToCalvary,90,4.0,,,,,0.0,,,reproductions,TheSermonOfSaintJohnTheBaptist,false,0.0,0.044444444444444446,0.0,0,train
33478,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_017.jpg,TheCornHarvest,117,0.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.0,0.0,0,train
21009,.\objects\reproductions\MassacreOfTheInnocents\crops\person\MassacreOfTheInnocents_rep_314.jpg,MadMeg,692,41.0,170.6751251220703,181.3361079518388,57.6065000922417,27.0,14.0,1082.5506507278292,1.2773028229394528e-05,reproductions,MassacreOfTheInnocents,false,0.34146341463414637,0.059248554913294796,0.02023121387283237,0,train
51832,.\objects\reproductions\ThePeasantDance\crops\person\ThePeasantDance_rep_349.jpg,TheFallofTheRebelAngels,2202,59.0,183.77703857421875,187.16009560277905,57.41122020619055,54.0,5.0,2116.3775313511005,-0.0623119452258869,reproductions,ThePeasantDance,false,0.0847457627118644,0.026793823796548592,0.002270663033605813,0,train
40294,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_344.jpg,TheCornHarvest,61,1.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.01639344262295082,0.0,0,train
20860,.\objects\reproductions\MassacreOfTheInnocents\crops\person\MassacreOfTheInnocents_rep_25.jpg,TheSermonOfSaintJohnTheBaptist,85,1.0,,,,,0.0,,,reproductions,MassacreOfTheInnocents,false,0.0,0.011764705882352941,0.0,0,train
9062,.\objects\paintings\TheProcessionToCalvary\crops\person\TheProcessionToCalvary70.jpg,TheFallofTheRebelAngels,101,4.0,,,,,0.0,,,paintings,TheProcessionToCalvary,false,0.0,0.039603960396039604,0.0,0,train
53402,.\objects\reproductions\ThePeasantWedding\crops\person\ThePeasantWedding_rep_157.jpg,TheLandOfCockaigne,209,6.0,,,,,0.0,,,reproductions,ThePeasantWedding,false,0.0,0.028708133971291867,0.0,0,train
38117,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_163.jpg,TheAdorationOfTheKings,462,16.0,189.0979766845703,186.83357048034668,56.21468644298765,11.0,5.0,938.2520519370106,-0.0044543251975876,reproductions,TheFightBetweenCarnivalAndLent,false,0.3125,0.03463203463203463,0.010822510822510822,0,train
40300,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_344.jpg,ThePeasantWedding,61,3.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.04918032786885246,0.0,0,train
14975,.\objects\reproductions\ChildrensGames\crops\person\ChildrensGames_rep_193.jpg,TheWineOfSaintMartinsDay,601,24.0,225.32405853271484,223.006020228068,38.51708090798007,19.0,5.0,1634.7140296246275,-8.897581347245564e-06,reproductions,ChildrensGames,false,0.20833333333333334,0.03993344425956739,0.008319467554076539,0,train
34005,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_047.jpg,TheAdorationOfTheKings,28,1.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.03571428571428571,0.0,0,train
68083,.\objects\reproductions\TheTriumphOfTheDeath\crops\person\TheTriumphOfDeath_rep_1.jpg,MadMeg,222,3.0,,,,,0.0,,,reproductions,TheTriumphOfTheDeath,false,0.0,0.013513513513513514,0.0,0,train
66559,.\objects\reproductions\TheSermonOfSaintJohnTheBaptist\crops\person\TheSermonOfTheSaintJohnTheBaptist_rep_417.jpg,TheTriumphOfTheDeath,114,4.0,,,,,0.0,,,reproductions,TheSermonOfSaintJohnTheBaptist,false,0.0,0.03508771929824561,0.0,0,train
29268,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_050.jpg,TheAdorationOfTheKings,295,9.0,,,,,0.0,,,reproductions,TheDutchProverbs,false,0.0,0.030508474576271188,0.0,0,train
32514,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_433.jpg,ChildrensGames,55,1.0,,,,,0.0,,,reproductions,TheDutchProverbs,false,0.0,0.01818181818181818,0.0,0,train
18444,.\objects\reproductions\MadMeg\crops\person\MadMeg_rep_24.jpg,TheSermonOfSaintJohnTheBaptist,443,12.0,234.79280853271484,224.9459788004557,23.12767071293672,8.0,4.0,2601.9735948733696,35.73188301601065,reproductions,MadMeg,false,0.3333333333333333,0.02708803611738149,0.009029345372460496,0,train
13196,.\objects\reproductions\ChildrensGames\crops\person\ChildrensGames_rep_087.jpg,TheSermonOfSaintJohnTheBaptist,42,1.0,,,,,0.0,,,reproductions,ChildrensGames,false,0.0,0.023809523809523808,0.0,0,train
38178,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_167.jpg,ChildrensGames,642,22.0,193.40167236328125,193.66012677279383,50.24739271512006,18.0,4.0,3783.708422468986,3.963542203465144,reproductions,TheFightBetweenCarnivalAndLent,false,0.18181818181818182,0.03426791277258567,0.006230529595015576,0,train
42638,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_621.jpg,TheSermonOfSaintJohnTheBaptist,420,11.0,223.56431579589844,220.9469868053089,41.999688977158414,7.0,4.0,3061.233517699867,13.588589746212792,reproductions,TheFightBetweenCarnivalAndLent,false,0.36363636363636365,0.02619047619047619,0.009523809523809525,0,train
1288,.\objects\paintings\ChildrensGames\crops\person\ChildrensGames71.jpg,TheLandOfCockaigne,84,2.0,,,,,0.0,,,paintings,ChildrensGames,false,0.0,0.023809523809523808,0.0,0,train
9745,.\objects\paintings\TheSermonOfSaintJohnTheBaptist\crops\person\TheSermonOfSaintJohnTheBaptist2.jpg,MadMeg,290,11.0,225.111083984375,216.7134683782404,42.42212790163545,6.0,5.0,1074.53764857368,-0.010892852901195,paintings,TheSermonOfSaintJohnTheBaptist,false,0.45454545454545453,0.03793103448275862,0.017241379310344827,0,train
19041,.\objects\reproductions\MassacreOfTheInnocents\crops\person\MassacreOfTheInnocents_rep_035.jpg,MadMeg,98,4.0,,,,,0.0,,,reproductions,MassacreOfTheInnocents,false,0.0,0.04081632653061224,0.0,0,train
32493,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_431.jpg,TheProcessionToCalvary,483,13.0,202.4993896484375,206.12166419396036,50.033972922161546,9.0,4.0,8658.716050242283,8277.326664156782,reproductions,TheDutchProverbs,false,0.3076923076923077,0.026915113871635612,0.008281573498964804,0,train
37132,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_1111.jpg,ThePeasantWedding,679,21.0,209.7069396972656,198.85484168643043,40.283992699680375,17.0,4.0,8647.258808133676,502.78733010500434,reproductions,TheFightBetweenCarnivalAndLent,false,0.19047619047619047,0.030927835051546393,0.005891016200294551,0,train
63671,.\objects\reproductions\TheProcessionToCalvary\crops\person\TheProcessionToCalvary_rep_484.jpg,TheDutchProverbs,261,2.0,,,,,0.0,,,reproductions,TheProcessionToCalvary,false,0.0,0.007662835249042145,0.0,0,train
49010,.\objects\reproductions\TheLandOfCockaigne\crops\person\TheLandOfCockaigne_rep_2.jpg,ChildrensGames,1688,41.0,179.92776489257812,179.65531977211558,58.39031952097169,36.0,5.0,1871.892618798241,-0.3777225245303196,reproductions,TheLandOfCockaigne,false,0.12195121951219512,0.02428909952606635,0.002962085308056872,0,train
34366,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_067.jpg,TheSermonOfSaintJohnTheBaptist,5,0.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.0,0.0,0,train
6674,.\objects\paintings\ThePeasantDance\crops\person\ThePeasantDance29.jpg,MassacreOfTheInnocents,177,5.0,,,,,0.0,,,paintings,ThePeasantDance,false,0.0,0.02824858757062147,0.0,0,train
32121,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_410.jpg,TheFightBetweenCarnivalAndLent,88,2.0,,,,,0.0,,,reproductions,TheDutchProverbs,false,0.0,0.022727272727272728,0.0,0,train
5195,.\objects\paintings\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent38.jpg,TheProcessionToCalvary,63,5.0,,,,,0.0,,,paintings,TheFightBetweenCarnivalAndLent,false,0.0,0.07936507936507936,0.0,0,train
43998,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_699.jpg,TheSermonOfSaintJohnTheBaptist,478,6.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.012552301255230125,0.0,0,train
18821,.\objects\reproductions\MassacreOfTheInnocents\crops\person\MassacreOfTheInnocents_rep_022.jpg,TheDutchProverbs,111,3.0,,,,,0.0,,,reproductions,MassacreOfTheInnocents,false,0.0,0.02702702702702703,0.0,0,train
69204,.\objects\reproductions\TheTriumphOfTheDeath\crops\person\TheTriumphOfDeath_rep_173.jpg,MassacreOfTheInnocents,176,5.0,,,,,0.0,,,reproductions,TheTriumphOfTheDeath,false,0.0,0.028409090909090908,0.0,0,train
6234,.\objects\paintings\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent97.jpg,ThePeasantWedding,185,4.0,,,,,0.0,,,paintings,TheFightBetweenCarnivalAndLent,false,0.0,0.021621621621621623,0.0,0,train
17415,.\objects\reproductions\ChildrensGames\crops\person\ChildrensGames_rep_442.jpg,TheFightBetweenCarnivalAndLent,98,1.0,,,,,0.0,,,reproductions,ChildrensGames,false,0.0,0.01020408163265306,0.0,0,train
27403,.\objects\reproductions\TheAdorationOfTheKings\crops\person\TheAdorationOfTheKings_rep_232.jpg,TheProcessionToCalvary,161,4.0,,,,,0.0,,,reproductions,TheAdorationOfTheKings,false,0.0,0.024844720496894408,0.0,0,train
28909,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_03.jpg,TheSermonOfSaintJohnTheBaptist,32,2.0,,,,,0.0,,,reproductions,TheDutchProverbs,false,0.0,0.0625,0.0,0,train
19790,.\objects\reproductions\MassacreOfTheInnocents\crops\person\MassacreOfTheInnocents_rep_142.jpg,TheWeddingDance,150,0.0,,,,,0.0,,,reproductions,MassacreOfTheInnocents,false,0.0,0.0,0.0,0,train
15913,.\objects\reproductions\ChildrensGames\crops\person\ChildrensGames_rep_247.jpg,ThePeasantDance,279,8.0,,,,,0.0,,,reproductions,ChildrensGames,false,0.0,0.02867383512544803,0.0,0,train
46232,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_8128.jpg,TheFallofTheRebelAngels,897,8.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.008918617614269788,0.0,0,train
39082,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_228.jpg,TheLandOfCockaigne,25,0.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.0,0.0,0,train
1282,.\objects\paintings\ChildrensGames\crops\person\ChildrensGames71.jpg,MassacreOfTheInnocents,84,4.0,,,,,0.0,,,paintings,ChildrensGames,false,0.0,0.047619047619047616,0.0,0,train
25251,.\objects\reproductions\MassacreOfTheInnocents\crops\person\MassacreOfTheInnocents_rep_832.jpg,TheAdorationOfTheKings,89,8.0,,,,,0.0,,,reproductions,MassacreOfTheInnocents,false,0.0,0.0898876404494382,0.0,0,train
51617,.\objects\reproductions\ThePeasantDance\crops\person\ThePeasantDance_rep_336.jpg,TheWineOfSaintMartinsDay,626,21.0,204.19598388671875,215.1051512218657,43.921069436721176,16.0,5.0,2989.8574733662945,0.237410029358314,reproductions,ThePeasantDance,false,0.23809523809523808,0.03354632587859425,0.007987220447284345,0,train
43743,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_684.jpg,TheTriumphOfTheDeath,148,5.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.033783783783783786,0.0,0,train
29285,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_051.jpg,TheCornHarvest,220,4.0,,,,,0.0,,,reproductions,TheDutchProverbs,false,0.0,0.01818181818181818,0.0,0,train
50597,.\objects\reproductions\ThePeasantDance\crops\person\ThePeasantDance_rep_22.jpg,TheAdorationOfTheKings,93,5.0,,,,,0.0,,,reproductions,ThePeasantDance,false,0.0,0.053763440860215055,0.0,0,train
7665,.\objects\paintings\ThePeasantWedding\crops\person\ThePeasantWedding43.jpg,MadMeg,1158,75.0,180.56300354003903,182.5632704671224,48.22307887434934,67.0,8.0,1075.3146008749852,2.5831306896904252e-08,paintings,ThePeasantWedding,false,0.10666666666666667,0.06476683937823834,0.0069084628670120895,0,train
33413,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_013.jpg,TheAdorationOfTheKings,19,0.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.0,0.0,0,train
30221,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_150.jpg,TheProcessionToCalvary,96,2.0,,,,,0.0,,,reproductions,TheDutchProverbs,false,0.0,0.020833333333333332,0.0,0,train
31037,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_229.jpg,TheProcessionToCalvary,338,11.0,199.1029815673828,199.15023942427203,49.38990896780607,7.0,4.0,2109.642988540004,-7.8606033235468304,reproductions,TheDutchProverbs,false,0.36363636363636365,0.03254437869822485,0.011834319526627219,0,train
20518,.\objects\reproductions\MassacreOfTheInnocents\crops\person\MassacreOfTheInnocents_rep_227.jpg,TheFallofTheRebelAngels,71,2.0,,,,,0.0,,,reproductions,MassacreOfTheInnocents,false,0.0,0.028169014084507043,0.0,0,train
4248,.\objects\paintings\TheDutchProverbs\crops\person\TheDutchProverbs7.jpg,TheLandOfCockaigne,567,13.0,234.4376220703125,221.5137728177584,42.25965260537437,9.0,4.0,3978.211820653704,33.38777172139838,paintings,TheDutchProverbs,false,0.3076923076923077,0.02292768959435626,0.007054673721340388,0,train
54552,.\objects\reproductions\ThePeasantWedding\crops\person\ThePeasantWedding_rep_38.jpg,TheFallofTheRebelAngels,257,9.0,,,,,0.0,,,reproductions,ThePeasantWedding,false,0.0,0.03501945525291829,0.0,0,train
65871,.\objects\reproductions\TheSermonOfSaintJohnTheBaptist\crops\person\TheSermonOfTheSaintJohnTheBaptist_rep_242.jpg,TheTriumphOfTheDeath,150,7.0,,,,,0.0,,,reproductions,TheSermonOfSaintJohnTheBaptist,false,0.0,0.04666666666666667,0.0,0,train
75350,.\objects\reproductions\TheWineOfSaintMartinsDay\crops\person\TheWineOfSaintMartinDay_rep_315.jpg,TheAdorationOfTheKings,113,4.0,,,,,0.0,,,reproductions,TheWineOfSaintMartinsDay,false,0.0,0.035398230088495575,0.0,0,train
57465,.\objects\reproductions\ThePeasantWedding\crops\person\ThePeasantWedding_rep_85.jpg,TheFightBetweenCarnivalAndLent,68,2.0,,,,,0.0,,,reproductions,ThePeasantWedding,false,0.0,0.029411764705882353,0.0,0,train
61658,.\objects\reproductions\TheProcessionToCalvary\crops\person\TheProcessionToCalvary_rep_331.jpg,TheLandOfCockaigne,108,4.0,,,,,0.0,,,reproductions,TheProcessionToCalvary,false,0.0,0.037037037037037035,0.0,0,train
42123,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_53.jpg,ThePeasantDance,29,1.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.034482758620689655,0.0,0,train
38406,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_18.jpg,TheCornHarvest,279,5.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.017921146953405017,0.0,0,train
31403,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_316.jpg,ThePeasantDance,35,0.0,,,,,0.0,,,reproductions,TheDutchProverbs,false,0.0,0.0,0.0,0,train
55627,.\objects\reproductions\ThePeasantWedding\crops\person\ThePeasantWedding_rep_536.jpg,ThePeasantDance,691,27.0,186.50201416015625,190.2903967963325,45.50590358058337,22.0,5.0,584.562997962695,0.0241473021028448,reproductions,ThePeasantWedding,false,0.18518518518518517,0.03907380607814761,0.00723589001447178,0,train
11159,.\objects\paintings\TheWineOfSaintMartinsDay\crops\person\TheWineOfSaintMartinsDay37.jpg,TheFightBetweenCarnivalAndLent,44,1.0,,,,,0.0,,,paintings,TheWineOfSaintMartinsDay,false,0.0,0.022727272727272728,0.0,0,train
69852,.\objects\reproductions\TheWeddingDance\crops\person\TheWeddingDance_rep_011.jpg,ThePeasantWedding,81,3.0,,,,,0.0,,,reproductions,TheWeddingDance,false,0.0,0.037037037037037035,0.0,0,train
37413,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_123.jpg,TheAdorationOfTheKings,178,2.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.011235955056179775,0.0,0,train
31699,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_333.jpg,MadMeg,33,0.0,,,,,0.0,,,reproductions,TheDutchProverbs,false,0.0,0.0,0.0,0,train
5638,.\objects\paintings\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent63.jpg,TheFallofTheRebelAngels,302,7.0,,,,,0.0,,,paintings,TheFightBetweenCarnivalAndLent,false,0.0,0.023178807947019868,0.0,0,train
